_id,badge_level,cities_visited,helpful_votes,Vote_Categories,member__contribution,Contribution_Categories,member_since_year,Countries,user_Name
5b7a431940f98408e422e5a5,2,6,NA,,8,< 10,2018,US,P A
5b7a504e40f98408e42303f8,2,6,NA,,6,< 10,2005,New Zealand,Rifwood
5b7a504e40f98408e423073f,2,6,NA,,5,< 10,2014,US,Rachael A
5b7a431940f98408e422e89a,2,6,NA,,7,< 10,2015,Malaysia,jenny733
5b7a431940f98408e422f03a,2,6,NA,,7,< 10,2011,Australia,Em F
5b7a72e540f98408e4231c04,2,6,NA,,6,< 10,2013,Australia,Glenn M
5b7a431940f98408e422f022,2,6,NA,,8,< 10,2016,NA,Kathie H
5b7a72e540f98408e42314e4,2,6,NA,,5,< 10,2016,Malaysia,TonyC055
5b7a2e6340f98408e422cdba,1,6,NA,,4,< 10,2013,US,NS6790
5b7a431940f98408e422e4dc,4,5,NA,,31,>= 10,2018,Australia,schixzotic
5b7a431940f98408e422e9d0,3,5,NA,,9,< 10,2015,UK,MARIANO F
5b7a504e40f98408e42306cd,3,5,NA,,10,>= 10,2014,UK,drkavish
5b7a72e540f98408e4231c13,3,5,NA,,11,>= 10,2015,US,ClareandMichaelPerth
5b7a431940f98408e422ec87,3,5,NA,,10,>= 10,2017,NA,Bob0007
5b7a431940f98408e422e9bc,3,5,NA,,9,< 10,2017,NA,Edward M
5b7a431940f98408e422ea98,3,5,NA,,11,>= 10,2016,NA,MillyAlvaHaimberger
5b7a431940f98408e422e4fb,2,5,NA,,5,< 10,2008,Others,Sally B
5b7a431940f98408e422e96a,2,5,NA,,8,< 10,2017,NA,DebbieK59
5b7a431940f98408e422ec36,2,5,NA,,6,< 10,2017,NA,lakatwmn
5b7a72e540f98408e4231450,2,5,NA,,6,< 10,2016,NA,Marisa A
5b7a72e540f98408e4231756,2,5,NA,,5,< 10,2014,NA,Marshy31
5b7a431940f98408e422eb84,2,5,NA,,8,< 10,2017,NA,NT23
5b7a504e40f98408e4230050,2,5,NA,,6,< 10,2008,NA,Planetweb
5b7a72e540f98408e4231cb2,2,5,NA,,6,< 10,2015,NA,Travelbud9330
5b7a431940f98408e422e50d,2,5,NA,,5,< 10,2016,NA,Vivien H
5b7a803d40f98408e4232db0,2,5,NA,,5,< 10,2014,Singapore,Ada F
5b7a72e540f98408e4231820,2,5,NA,,4,< 10,2015,Singapore,Ash C
5b7a2e6340f98408e422d7ae,2,5,NA,,5,< 10,2008,France,
5b7a803d40f98408e4232b74,1,5,NA,,3,< 10,2009,Australia,Nida Z
5b7a72e540f98408e4231b19,1,5,NA,,4,< 10,2014,Australia,simkap1
5b7a72e540f98408e42315a3,1,5,NA,,4,< 10,2015,NA,GanesanAbbu
5b7a72e540f98408e423190f,1,5,NA,,4,< 10,2010,US,pibob
5b7a2e6340f98408e422d16d,1,5,NA,,4,< 10,2014,UK,Rajesh S
5b7a431940f98408e422e5d0,3,4,NA,,10,>= 10,2017,NA,Popoki
5b7a72e540f98408e4231ad8,3,4,NA,,11,>= 10,2016,Australia,kamhungperryy
5b7a431940f98408e422e882,3,4,NA,,3,< 10,2008,UK,meaningremission
5b7a504e40f98408e42306b2,2,4,NA,,5,< 10,2014,Others,JimZerbe
5b7a2e6340f98408e422cf0d,2,4,NA,,5,< 10,2017,UK,kwpeder
5b7a504e40f98408e4230301,2,4,NA,,5,< 10,2010,China,Janice N
5b7a72e540f98408e4231961,2,4,NA,,8,< 10,2016,Thailand,Craig S
5b7a72e540f98408e4231b66,2,4,NA,,5,< 10,2015,UAE,Forsstrom
5b7a431940f98408e422e880,2,4,NA,,5,< 10,2015,UK,eliza836
5b7a72e540f98408e4231e2c,2,4,NA,,5,< 10,2015,Australia,Meredith_8255103
5b7a431940f98408e422e545,2,4,NA,,6,< 10,2018,India,avisanddavid
5b7a72e540f98408e4231adf,2,4,NA,,5,< 10,2015,NA,angieng0908
5b7a72e540f98408e4231525,2,4,NA,,5,< 10,2012,US,jill_sprott
5b7a72e540f98408e4231ad1,2,4,NA,,5,< 10,2016,NA,Debbie T
5b7a431940f98408e422ec57,2,4,NA,,7,< 10,2014,NA,Diamondken
5b7a431940f98408e422e7ef,2,4,NA,,9,< 10,2017,NA,J0achim
5b7a504e40f98408e422fcf2,2,4,NA,,6,< 10,2016,NA,Nonoals
5b7a72e540f98408e4231694,2,4,NA,,5,< 10,2012,NA,X233
5b7a72e540f98408e42318d1,2,4,NA,,5,< 10,2016,New Zealand,John C
5b7a431940f98408e422e967,2,4,NA,,7,< 10,2013,Others,drpsau
5b7a72e540f98408e42316c5,2,4,NA,,5,< 10,2012,Australia,Departure
5b7a72e540f98408e4231a0c,2,4,NA,,2,< 10,2016,Brunei,Sigitpramono
5b7a431940f98408e422e560,2,4,NA,,5,< 10,2016,Malaysia,vipster187
5b7a2e6340f98408e422d01f,2,4,NA,,7,< 10,2017,US,
5b7a431940f98408e422ee68,1,4,NA,,4,< 10,2017,China,SG_Eujin
5b7a431940f98408e422ed4c,1,4,NA,,4,< 10,2012,Others,chriz12
5b7a72e540f98408e4231527,1,4,NA,,4,< 10,2017,Others,Jeny W
5b7a72e540f98408e4231caf,1,4,NA,,3,< 10,2015,Germany,Nouzab F
5b7a2e6340f98408e422d5d0,1,4,NA,,4,< 10,2015,Switzerland,はんさむだん
5b7a72e540f98408e4231556,1,4,NA,,4,< 10,2013,Germany,Harsh1111
5b7a72e540f98408e42316ff,1,4,NA,,4,< 10,2015,India,BarbieKimber
5b7a2e6340f98408e422d345,1,4,NA,,3,< 10,2016,UK,Fiona N
5b7a803d40f98408e4232fd3,1,4,NA,,3,< 10,2013,Australia,TanEugene
5b7a431940f98408e422ef12,1,4,NA,,3,< 10,2012,NA,75debbie2015
5b7a431940f98408e422e500,1,4,NA,,4,< 10,2018,NA,Coz2
5b7a431940f98408e422eddf,1,4,NA,,3,< 10,2012,NA,David N
5b7a72e540f98408e4231e7d,1,4,NA,,3,< 10,2014,NA,DBLizaso
5b7a504e40f98408e422fcb8,1,4,NA,,3,< 10,2018,NA,ImacGlasgow
5b7a2e6340f98408e422cdd9,1,4,NA,,4,< 10,2017,NA,Karenphtan
5b7a72e540f98408e4231883,1,4,NA,,4,< 10,2017,NA,lin7577
5b7a431940f98408e422e52b,1,4,NA,,3,< 10,2012,NA,Margaret W
5b7a2e6340f98408e422d291,1,4,NA,,2,< 10,2016,US,marionerawa
5b7a803d40f98408e4232fd5,1,4,NA,,4,< 10,2012,Others,Langford60
5b7a504e40f98408e42306f9,1,4,NA,,4,< 10,2012,UK,Priya K
5b7a2e6340f98408e422cdb5,1,4,NA,,4,< 10,2016,Others,Yannyville
5b7a72e540f98408e4231452,1,4,NA,,4,< 10,2008,Malaysia,D R
5b7a2e6340f98408e422ceed,1,4,NA,,3,< 10,2010,UK,Redha_Ali
5b7a2e6340f98408e422cf55,1,4,NA,,4,< 10,2014,Australia,SSWHEEL
5b7a2e6340f98408e422d566,1,4,NA,,3,< 10,2011,UK,Tannaydave1
5b7a72e540f98408e4231a3f,1,4,NA,,3,< 10,2014,Singapore,Maggie D
5b7a72e540f98408e4231b1a,1,4,NA,,4,< 10,2014,Singapore,snavdeep
5b7a2e6340f98408e422cefd,1,4,NA,,4,< 10,2017,Australia,Reetu J
5b7a431940f98408e422ec7a,4,3,NA,,26,>= 10,2017,NA,Haddaway
5b7a72e540f98408e4231821,3,3,NA,,15,>= 10,2016,Australia,Elena_Woo
5b7a431940f98408e422ebbb,3,3,NA,,11,>= 10,2017,UK,sophie c
5b7a72e540f98408e4231443,3,3,NA,,11,>= 10,2016,Singapore,a_f_fischer
5b7a431940f98408e422e796,2,3,NA,,5,< 10,2015,US,Rebecca M
5b7a803d40f98408e423341b,2,3,NA,,5,< 10,2016,UK,Amanda A
5b7a504e40f98408e423042b,2,3,NA,,4,< 10,2014,Singapore,
5b7a504e40f98408e4230577,2,3,NA,,6,< 10,2010,Indonesia,PierreFBR
5b7a2e6340f98408e422cd6d,2,3,NA,,8,< 10,2018,Australia,LondonJammer
5b7a72e540f98408e423141a,2,3,NA,,8,< 10,2016,Australia,Naja Utzon P
5b7a72e540f98408e42315e0,2,3,NA,,8,< 10,2016,Australia,nak_lang
5b7a72e540f98408e42313e2,2,3,NA,,5,< 10,2018,Australia,V3488GFpeterl
5b7a431940f98408e422ea27,2,3,NA,,6,< 10,2015,NA,aquarian_India
5b7a504e40f98408e422fc81,2,3,NA,,5,< 10,2018,NA,Brandon D
5b7a803d40f98408e423338b,2,3,NA,,4,< 10,2011,NA,E1801IXmichaelp
5b7a504e40f98408e422fcb4,2,3,NA,,5,< 10,2018,NA,Farsheen H
5b7a72e540f98408e4231a77,2,3,NA,,8,< 10,2016,Canada,Kaleighpot
5b7a431940f98408e422e9d7,2,3,NA,,4,< 10,2017,NA,jiminpgh
5b7a431940f98408e422ecb7,2,3,NA,,7,< 10,2017,NA,leejames1984
5b7a431940f98408e422ee8e,2,3,NA,,5,< 10,2016,NA,priscilla0ng
5b7a504e40f98408e423058a,2,3,NA,,5,< 10,2015,NA,suitdude30
5b7a431940f98408e422e532,2,3,NA,,4,< 10,2018,NA,teaswizzler
5b7a431940f98408e422ef66,2,3,NA,,7,< 10,2017,Others,FredHHHHHHH
5b7a72e540f98408e42315dc,2,3,NA,,2,< 10,2017,Singapore,Aisling F
5b7a72e540f98408e42316ee,2,3,NA,,7,< 10,2009,Singapore,cubababe8
5b7a431940f98408e422f05b,2,3,NA,,6,< 10,2017,Australia,Elina S
5b7a72e540f98408e423163f,1,3,NA,,4,< 10,2016,Australia,49sheldine
5b7a72e540f98408e4231564,1,3,NA,,3,< 10,2013,UK,jlt1986
5b7a803d40f98408e4233499,1,3,NA,,4,< 10,2015,UAE,MischaMohid
5b7a72e540f98408e4231437,1,3,NA,,4,< 10,2013,Australia,MickiAustralia
5b7a504e40f98408e422fd0f,1,3,NA,,4,< 10,2015,China,JustinMo
5b7a504e40f98408e42302ac,1,3,NA,,4,< 10,2016,China,ROB T
5b7a431940f98408e422e577,1,3,NA,,4,< 10,2018,UK,lumierette
5b7a72e540f98408e42316cf,1,3,NA,,4,< 10,2016,Others,Jenny H
5b7a72e540f98408e4231955,1,3,NA,,3,< 10,2015,Indonesia,
5b7a2e6340f98408e422cecc,1,3,NA,,4,< 10,2017,Indonesia,ainwawa
5b7a72e540f98408e4231ac1,1,3,NA,,3,< 10,2010,Indonesia,Sid S
5b7a72e540f98408e4231e7c,1,3,NA,,3,< 10,2011,Malaysia,SYM4L
5b7a72e540f98408e42319ce,1,3,NA,,3,< 10,2016,Others,Keerthi r
5b7a431940f98408e422ecb8,1,3,NA,,3,< 10,2016,Australia,42answer
5b7a431940f98408e422ed72,1,3,NA,,3,< 10,2017,Australia,gie1213
5b7a72e540f98408e42318bc,1,3,NA,,3,< 10,2017,Australia,marjorie c
5b7a72e540f98408e4231918,1,3,NA,,4,< 10,2010,UK,Greg C
5b7a431940f98408e422e9ce,1,3,NA,,3,< 10,2012,Australia,Rachel444
5b7a72e540f98408e42317e5,1,3,NA,,3,< 10,2010,Australia,Steven E
5b7a2e6340f98408e422cf30,1,3,NA,,4,< 10,2017,US,David H
5b7a504e40f98408e42307b1,1,3,NA,,3,< 10,2014,India,UNNI KRISHNAN K
5b7a504e40f98408e4230715,1,3,NA,,3,< 10,2014,NA,Bondy006
5b7a72e540f98408e4231c21,1,3,NA,,4,< 10,2015,NA,CHSurrey
5b7a2e6340f98408e422cd98,1,3,NA,,3,< 10,2017,NA,ClassicMX5
5b7a72e540f98408e42319d1,1,3,NA,,3,< 10,2016,NA,gbsflyer
5b7a431940f98408e422ee1a,1,3,NA,,2,< 10,2017,NA,Jeanmarc G
5b7a431940f98408e422eb91,1,3,NA,,4,< 10,2017,NA,Jgdutyfree
5b7a72e540f98408e4231881,1,3,NA,,3,< 10,2015,NA,Jonathan L
5b7a72e540f98408e42318fc,1,3,NA,,3,< 10,2016,NA,Jonquil C
5b7a72e540f98408e4231855,1,3,NA,,3,< 10,2011,Australia,Kimora L
5b7a2e6340f98408e422cfa9,1,3,NA,,3,< 10,2017,NA,KrisSurrey
5b7a803d40f98408e42330fe,1,3,NA,,3,< 10,2016,NA,Maree H
5b7a504e40f98408e42303e6,1,3,NA,,3,< 10,2015,NA,S0n1a_13
5b7a431940f98408e422eac4,1,3,NA,,3,< 10,2012,NA,shelley_75
5b7a2e6340f98408e422cf20,1,3,NA,,2,< 10,2011,NA,SisterPurple1708
5b7a504e40f98408e422fc6d,1,3,NA,,3,< 10,2016,NA,Stanley_1986
5b7a431940f98408e422ef56,1,3,NA,,3,< 10,2016,NA,vacatraveler12
5b7a72e540f98408e42317da,1,3,NA,,3,< 10,2015,NA,
5b7a803d40f98408e42333ea,1,3,NA,,3,< 10,2016,UK,MissSJD
5b7a504e40f98408e422fcf6,1,3,NA,,3,< 10,2012,New Zealand,Vil P
5b7a2e6340f98408e422d714,1,3,NA,,4,< 10,2012,Others,atulit c
5b7a2e6340f98408e422d693,1,3,NA,,3,< 10,2015,Australia,Marleyspiji91
5b7a72e540f98408e4231795,1,3,NA,,3,< 10,2017,UK,rowena1977
5b7a803d40f98408e4233267,1,3,NA,,3,< 10,2016,Australia,
5b7a2e6340f98408e422d50c,1,3,NA,,3,< 10,2014,UK,RyszardKapusta
5b7a803d40f98408e4232d44,1,3,NA,,3,< 10,2018,UK,JenLiLee
5b7a72e540f98408e4231d75,1,3,NA,,3,< 10,2015,Others,London_368
5b7a72e540f98408e4231c82,1,3,NA,,3,< 10,2013,US,Showbizboy
5b7a504e40f98408e42307c2,1,3,NA,,4,< 10,2014,US,JustJessPerth
5b7a72e540f98408e4231587,1,3,NA,,3,< 10,2013,Singapore,
5b7a72e540f98408e4231dbd,1,3,NA,,3,< 10,2015,Singapore,Amirah A
5b7a2e6340f98408e422d7fd,1,3,NA,,3,< 10,2014,Singapore,Catherine D
5b7a72e540f98408e42318a3,1,3,NA,,3,< 10,2015,Singapore,Donna C
5b7a72e540f98408e42313ec,1,3,NA,,4,< 10,2016,Singapore,Juz_az
5b7a2e6340f98408e422cd76,1,3,NA,,3,< 10,2014,Singapore,Pinkpineapple1
5b7a72e540f98408e423152c,1,3,NA,,3,< 10,2012,Singapore,Susan M
5b7a72e540f98408e423143c,1,3,NA,,4,< 10,2013,Singapore,YorkshireCruisers
5b7a72e540f98408e423144b,1,3,NA,,3,< 10,2015,Singapore,
5b7a504e40f98408e4230390,1,3,NA,,3,< 10,2016,Sweden,snowdrop100
5b7a504e40f98408e422fcfd,1,3,NA,,3,< 10,2012,Australia,
5b7a2e6340f98408e422d545,1,3,NA,,4,< 10,2015,Australia,Marie N
5b7a2e6340f98408e422d8d2,1,3,NA,,3,< 10,2011,Australia,VisitedNewPlaces
5b7a504e40f98408e422fd03,1,3,NA,,3,< 10,2014,Australia,CarlitoLS
5b7a72e540f98408e42315c6,1,3,NA,,3,< 10,2017,Australia,Droopy68
5b7a72e540f98408e42316c7,1,3,NA,,3,< 10,2017,Australia,tsrmanag
5b7a72e540f98408e423142f,1,3,NA,,3,< 10,2010,Others,Ozlovers
5b7a431940f98408e422e84d,3,2,NA,,9,< 10,2017,NA,Rene K
5b7a431940f98408e422e6f8,3,2,NA,,5,< 10,2016,NA,Snowman781
5b7a431940f98408e422eea3,3,2,NA,,10,>= 10,2017,Australia,Sneh V
5b7a72e540f98408e4231719,3,2,NA,,14,>= 10,2016,Singapore,Azusa H
5b7a72e540f98408e4231d80,3,2,NA,,14,>= 10,2015,Singapore,
5b7a431940f98408e422ed71,2,2,NA,,5,< 10,2017,Others,QuickWhitTravel
5b7a72e540f98408e4231a3c,2,2,NA,,5,< 10,2016,Australia,Chong P
5b7a431940f98408e422e4d9,2,2,NA,,3,< 10,2014,US,BettyPanagiota
5b7a431940f98408e422e5a0,2,2,NA,,7,< 10,2018,UK,Diego-La-Rocca
5b7a72e540f98408e42314c2,2,2,NA,,6,< 10,2008,UK,allypallytarry
5b7a2e6340f98408e422d85c,2,2,NA,,4,< 10,2014,Indonesia,Wolverine16
5b7a504e40f98408e4230124,2,2,NA,,8,< 10,2016,Australia,amirhosseinahmadi
5b7a431940f98408e422ea05,2,2,NA,,5,< 10,2016,Australia,Mai S
5b7a72e540f98408e423157a,2,2,NA,,4,< 10,2012,UK,j9rs
5b7a431940f98408e422eea5,2,2,NA,,4,< 10,2016,NA,Alexander Z
5b7a431940f98408e422ef62,2,2,NA,,5,< 10,2017,NA,Boliath
5b7a431940f98408e422eacd,2,2,NA,,4,< 10,2017,NA,Daniel69Lim
5b7a2e6340f98408e422d3c3,2,2,NA,,4,< 10,2015,NA,JPDallas
5b7a2e6340f98408e422d19a,2,2,NA,,9,< 10,2016,NA,Kirit S
5b7a2e6340f98408e422cf75,2,2,NA,,6,< 10,2017,NA,MrP50
5b7a72e540f98408e4231673,2,2,NA,,2,< 10,2017,NA,Richail
5b7a431940f98408e422eb85,2,2,NA,,6,< 10,2015,NA,Sandra S
5b7a431940f98408e422e78c,2,2,NA,,4,< 10,2012,NA,Traveller2283
5b7a72e540f98408e4231ab9,2,2,NA,,3,< 10,2013,New Zealand,kaiyagirl
5b7a72e540f98408e42315a6,2,2,NA,,5,< 10,2015,Others,Jason H
5b7a72e540f98408e42317e9,2,2,NA,,6,< 10,2016,Singapore,Georgia G
5b7a72e540f98408e4231d6a,2,2,NA,,5,< 10,2013,Singapore,Cindy K
5b7a72e540f98408e4231748,2,2,NA,,5,< 10,2017,Thailand,Valerie M
5b7a72e540f98408e4231ba1,2,2,NA,,5,< 10,2014,Singapore,moeline
5b7a431940f98408e422ec5b,2,2,NA,,6,< 10,2017,Australia,Donna D
5b7a72e540f98408e4231431,2,2,NA,,9,< 10,2015,China,alliLesve
5b7a431940f98408e422e8fd,1,2,NA,,4,< 10,2014,UAE,chaknee
5b7a431940f98408e422ed45,1,2,NA,,3,< 10,2017,India,christian264
5b7a72e540f98408e4231459,1,2,NA,,2,< 10,2013,Malaysia,ffejc
5b7a72e540f98408e4231538,1,2,NA,,3,< 10,2016,Indonesia,Reed S
5b7a72e540f98408e4231ecd,1,2,NA,,3,< 10,2014,Indonesia,Ross E
5b7a72e540f98408e4231f39,1,2,NA,,3,< 10,2014,Australia,dljhk
5b7a72e540f98408e423150b,1,2,NA,,3,< 10,2018,Japan,rob_faris
5b7a72e540f98408e42315e8,1,2,NA,,4,< 10,2016,Malaysia,GarethM000
5b7a72e540f98408e4231413,1,2,NA,,4,< 10,2018,Indonesia,
5b7a72e540f98408e4231626,1,2,NA,,3,< 10,2016,Others,29RonS
5b7a2e6340f98408e422d26f,1,2,NA,,4,< 10,2014,Australia,
5b7a431940f98408e422eb1e,1,2,NA,,3,< 10,2017,NA,870sunitab
5b7a431940f98408e422f002,1,2,NA,,2,< 10,2015,NA,abbey141
5b7a72e540f98408e4231910,1,2,NA,,3,< 10,2016,NA,Adamaris J
5b7a72e540f98408e4231c0e,1,2,NA,,2,< 10,2016,NA,Amir H
5b7a431940f98408e422e98f,1,2,NA,,3,< 10,2016,NA,anitamanki
5b7a72e540f98408e4231b6b,1,2,NA,,3,< 10,2016,NA,anndenMelbourne
5b7a72e540f98408e4231761,1,2,NA,,4,< 10,2008,NA,Anthony Z
5b7a72e540f98408e42318a0,1,2,NA,,3,< 10,2017,NA,Arthur L
5b7a431940f98408e422e608,1,2,NA,,3,< 10,2018,NA,Billy B
5b7a72e540f98408e4231703,1,2,NA,,2,< 10,2017,NA,CoffeeHans
5b7a72e540f98408e4231847,1,2,NA,,3,< 10,2016,NA,Ice3l
5b7a72e540f98408e423140f,1,2,NA,,3,< 10,2016,NA,naz16
5b7a72e540f98408e423145d,1,2,NA,,3,< 10,2018,NA,Pat0002
5b7a431940f98408e422eb83,1,2,NA,,4,< 10,2015,NA,Sally W
5b7a431940f98408e422ef5a,1,2,NA,,2,< 10,2016,NA,Shaun P
5b7a431940f98408e422edab,1,2,NA,,2,< 10,2016,NA,Tony C
5b7a72e540f98408e4231bb3,1,2,NA,,3,< 10,2013,India,Janette W
5b7a431940f98408e422ed9b,1,2,NA,,2,< 10,2017,India,Stashu25
5b7a431940f98408e422e644,1,2,NA,,3,< 10,2018,US,muuuuu
5b7a72e540f98408e4231650,1,2,NA,,3,< 10,2016,Australia,thefriar
5b7a504e40f98408e422fc3d,1,2,NA,,3,< 10,2015,Australia,clubroma
